Restaurant Name,Price,Cuisine,Distance,Cleanliness and Hygiene,Locality/Neighborhood,Wait Times,Portion Sizes,Overall Rating
BALTIMORE BEVERAGE CO. -STARBUCKS,97,Spanish,36,70,39,82,79,64
BALTIMORE COUNTRY CLUB,80,Japanese,72,94,20,30,53,61
BALTIMORE DELIGHT RESTAURANT,100,American,44,20,72,62,62,59
"BALTIMORE EAGLE, INC.",75,French,18,31,90,42,71,54
BALTIMORE ESTONIAN SOCIETY,27,Italian,87,10,54,73,41,47
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,31,Chinese,96,94,11,94,51,60
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,88,Spanish,8,60,99,16,47,57
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,71,Indian,53,44,41,85,36,53
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,33,Mexican,7,41,96,82,48,48
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,26,Japanese,81,90,93,37,78,69
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,82,French,12,11,90,6,55,45
BALTIMORE PHO,69,Italian,30,84,22,51,16,47
BALTMORE KICKERS,21,Spanish,62,90,58,75,49,58
BANJARA,79,Chinese,67,28,34,16,75,50
BANTHAI,53,Thai,30,69,41,20,3,40
BARISTA ESPRESSO CAF,75,Japanese,53,74,87,69,63,71
BARNES & NOBLE BOOKSELLERS,97,American,17,11,57,28,31,42
BARTENDERS,98,Chinese,40,31,84,96,14,61
BLU BAMBU-FRESH AISIAN EATS,62,Mexican,22,36,29,81,39,41
BLUE AGAVE RESTAURANT AND TEQUILERIA,71,Korean,61,51,77,29,18,56
BLUE CRAB EXPRESS & CAF INC.,85,Italian,72,93,22,79,11,63
blue island malaysian cuisine,52,Italian,44,41,93,94,4,55
BLUE JEAN CAFE,50,Thai,85,45,90,90,12,64
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,39,Japanese,42,45,32,72,71,45
BLUE PARROT,92,Spanish,69,49,48,41,3,56
BLUE POINT CRAB HOUSE (seasonal),100,Italian,0,14,98,99,80,60
BLUE SEA GRILL,86,Spanish,83,64,63,75,43,70
BLUE SKY RESTAURANT,88,Spanish,79,53,36,96,16,62
BLUEHOUSE,31,American,1,19,61,68,72,36
BO BROOKS,47,Chinese,26,80,59,88,73,58
BOB CUMMINGS PLACE,47,Spanish,46,71,64,68,24,54
BOB DELI,49,Thai,17,21,42,74,56,38
BOB'S BAR,60,Japanese,27,99,85,92,12,64
BOB'S OLDIE'S CAF,65,American,3,33,75,75,37,46
BOCCACCIO,79,Japanese,3,26,34,27,58,36
BOP BRICK OVEN PIZZA,79,Italian,72,82,33,26,80,63
BOUILLABAISSE CAF,87,Korean,43,93,87,65,17,70
BOULDER GARDEN CAFE,94,Italian,10,47,15,42,0,37
BRASS MONKEY SALOON,37,Korean,17,35,63,29,69,40
BRASSERIE TATIN,89,French,93,66,24,80,4,62
BREEZE INC.,50,American,3,73,85,91,4,51
"BRENDAL, INC.",78,Chinese,69,68,40,15,68,59
BREWER'S HILL PUB & GRILL,38,Japanese,98,25,37,88,76,56
BREWSTER'S TAVERN,41,Thai,57,69,19,34,44,45
BROADWAY DINER,24,American,42,25,45,52,6,33
BROOKEY'S,52,Thai,61,56,32,8,9,41
BROOKLYN BOOSTER CLUB,77,Mexican,71,45,32,55,46,55
"BROOKLYN INN, LLC",99,American,73,77,40,41,23,64
BROOKLYN PLEASURE CLUB,48,Spanish,49,51,35,43,59,46
"BROTHERS PLACE, INC.",80,Thai,35,90,66,86,57,68
"BRUCE MCKELDIN CONSULTING, LLC",91,Chinese,86,66,46,13,71,66
BUD PAOLINO'S RESTAURANT,69,Spanish,88,71,66,3,66,65
BUFFALO WINGGS AND BEER,76,French,68,45,50,15,24,51
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,89,Chinese,23,87,34,29,23,51
BULLSEYE BAR & GRILLE,98,Italian,81,94,42,96,18,74
BURGER KING,58,American,67,68,26,72,74,58
BURGER KING # 10293,95,American,12,11,72,82,3,46
BURGER KING # 13360,68,American,52,75,66,41,45,60
BURGER KING #10294,47,American,33,78,14,82,63,48
BURGER KING #10295,79,American,20,31,72,64,22,49
BURGER KING #1950,26,American,91,73,73,57,11,59
BURGER KING #2610,80,American,38,56,73,50,43,58
"BURKE'S CAFE, INCORPORATED",84,Spanish,38,48,52,16,61,52
BURKE'S CAF/ COMEDY FACTORY,50,French,85,28,72,0,30,50
BUSTER'S PUB,97,Japanese,87,95,13,76,39,69
"BUTTS & BETTY'S TAVERN, INC.",60,Thai,59,89,28,50,68,59
B-WATCH,46,French,6,71,56,93,30,48
BYZANTIO CAF,21,Japanese,59,14,100,90,16,49
CAF AZAFRAN,100,Chinese,100,72,28,1,39,64
CAF EXPRESS,34,Korean,44,55,86,32,24,49
CAF GIA,83,Japanese,71,78,23,11,30,55
CAF GOURMET,95,Spanish,99,57,70,9,72,72
CAFE' INTERNATIONALE,73,Thai,73,95,24,22,61,61
CAF LATTE 'DA,83,Spanish,48,98,71,39,80,71
CAFE MANET,44,Italian,80,62,25,15,76,51
"CAF ON THE SQUARE, LLC",33,American,18,16,84,5,37,34
CAF SUSSIE'S,56,Japanese,7,25,72,33,61,41
CAFE ZEN,93,Spanish,50,40,50,93,4,56
CALIFORNIA PIZZA KITCHEN,34,Italian,32,64,87,10,62,50
CAMDEN PUB,53,American,40,38,98,7,41,50
CAMERON'S SEAFOOD,71,Spanish,46,95,43,5,1,51
CANTINA LAS AMERICAS/LA RUMBA,44,Japanese,54,94,15,87,71,57
CANTON COVE,44,Chinese,67,18,20,68,14,38
CANTON STATION,24,Chinese,72,63,50,71,62,55
CANTON'S PEARLS,72,Chinese,30,48,13,83,76,48
CANTON'S PORTSIDE TAVERN,22,Chinese,43,85,72,55,29,52
CAPTAIN LARRY'S,67,Japanese,72,32,57,13,18,48
caribbean paradise,76,Japanese,63,46,39,96,9,55
CARIBOU COFFEE,89,French,10,60,52,85,7,51
CARL REFEERS BAR & GRILL,51,French,40,67,82,90,2,57
CARLOS O'CHARLIES,55,Chinese,79,52,62,43,45,58
CARL'S LITTLE HOUSE,23,Italian,27,37,48,65,64,39
CARLYLE CLUB,50,Korean,2,20,74,86,13,39
CAROLINAS TEX- MEX RESTAURANT,61,Chinese,23,56,75,29,33,49
CAROLINA'S TEX-MEX RESTURANT,63,Korean,44,90,39,53,9,53
CARROLL STATION,39,Mexican,4,22,25,1,34,21
CASSANOVIA,73,Chinese,46,87,69,98,31,67
CASTAWAY'S BAR &  GRILL,75,Thai,53,31,18,13,42,40
CATALINA RESTAURANT,74,Italian,7,37,73,31,40,45
CATCH 22 SALOON,84,Korean,33,51,42,5,62,48
CATON HOUSE RESTAURANT,79,Italian,24,80,24,19,58,49
CATTLE & FIN GRILL,77,Italian,5,56,95,87,1,55
CAZBAR,60,Chinese,77,91,37,23,21,57
CC LOUNGE,67,Indian,64,98,26,7,46,56
CEASAR'S DEN,77,French,69,64,100,32,62,71
CEDONIA INN,100,Thai,85,64,96,57,13,76
"CENTER CLUB, INCORPORATED",25,Chinese,11,91,51,22,8,38
CENTER STAGE,81,French,64,86,42,13,3,56
CENTRAL STATION,77,Italian,14,12,58,19,52,39
CERIELLO FINE FOODS,90,Indian,2,18,56,50,14,39
CHAMPAGNE TONY'S,30,American,95,60,85,67,21,62
"CHARLES & MADISON, LLC",91,Chinese,37,23,85,91,53,61
CHARLES RESTAURANT  &  CARRYOUT,79,Indian,51,39,64,98,26,58
CHARLES ST DELI,79,French,71,99,15,63,38,62
CHARLES VILLAGE PUB,29,Spanish,13,69,89,10,62,47
CHARLESTON,20,Chinese,26,39,22,59,7,27
CHARLIE & DEE RESTAURANT,34,Chinese,63,16,69,63,75,50
CHARLOTTE'S,47,Thai,31,81,88,88,42,62
CHARM CITY INN,57,Mexican,54,59,96,18,79,62
CHAZZ &  REN'E,85,Italian,44,65,27,10,36,48
CHEERLEADERS,81,French,80,73,97,90,64,81
CHEERLEADERS SPORTS BAR,28,Chinese,26,28,21,69,43,31
CHEF PAOLINO,81,Chinese,9,42,31,82,77,48
CHESAPEAKE BAY RESTAURANT,60,Japanese,86,10,36,7,61,45
CHESAPEAKE WINE COMPANY,97,Japanese,45,70,30,61,35,58
CHIAPPARELLI'S RESTAURANT,95,Chinese,86,19,78,5,4,56
CHIC & TROUT (1007-09),53,Korean,44,29,88,10,59,49
CHICKEN RICO,70,Korean,58,53,95,48,31,63
CHIMES CAF,97,Indian,82,28,33,61,16,55
CHINA CHEF,34,Chinese,6,41,97,88,40,48
CHINA EAST,88,Chinese,17,10,33,85,24,40
CHINA EUTAW EXPRESS,50,Chinese,31,93,35,79,51,54
CHINA GARDEN,92,Chinese,54,100,29,76,29,65
CHINA WOK,49,Chinese,62,26,15,58,52,41
CHINATOWN CAF,59,Chinese,69,61,28,84,8,52
CHINESE DELIGHT,96,Chinese,0,74,85,70,3,58
CHIPOTLE,24,Italian,17,43,85,55,55,44
CHIPOTLE MEXICAN GRILL,62,Mexican,84,49,26,84,63,58
CHIU'S SUSHI JAPANESE RESTAURANT,26,Japanese,75,43,88,40,29,53
CHIYO SUSHI,21,Japanese,27,78,40,97,18,44
CHOCOLATEA,47,Indian,36,80,68,81,64,60
CHOPPER'S TAVERN,39,Mexican,100,49,52,39,40,55
CHOW  MEIN CHARLIES  chinese food,24,Chinese,56,73,27,58,4,42
CHRIS LIQUOR & GRILL,67,American,10,88,35,22,71,49
CHUBBIES CLUB,51,Mexican,16,47,51,8,23,36
CHUCK'S,67,Korean,95,16,26,13,61,48
CHUNG MEE RESTAURANT,88,Mexican,20,71,35,40,63,53
CIAO BELLA RESTAURANT,77,Mexican,21,32,26,74,51,43
CINCO DE MAYO,70,Chinese,7,36,53,75,14,42
CINGHIALE,57,Spanish,86,96,13,17,29,55
CIRCUS BAR & RESTAURANT,86,Mexican,54,50,43,87,62,61
CITY LIMITS SPORTS BAR,44,Japanese,11,40,37,100,31,39
claddagh pub,82,Chinese,69,41,31,79,17,54
CLASSIC CAFE EXPRESS,28,Thai,52,84,72,90,33,59
CLAYTON FINE BOOKS & CAF,29,French,22,32,59,45,69,39
CLIFTON PARK GOLF COURSE SNACK BAR,81,Chinese,91,49,80,65,54,72
CLIPPER MILL INN,48,American,36,30,96,27,3,45
CLUB 1722,45,Thai,56,68,64,74,62,60
CLUB BAR,75,Chinese,88,19,12,30,68,48
CLUB BUNNS (606-08),82,French,28,37,86,40,1,50
club charles zodiac     (1724-1726 n. charles st),85,Indian,77,29,79,54,53,64
CLUB CHOICES,35,Mexican,90,100,78,95,22,72
CLUB CLIMAX,23,Japanese,83,30,24,8,27,35
CLUB CONFETTI,71,Spanish,84,87,68,74,61,75
CLUB HAREM,20,French,12,52,46,53,0,31
CLUB HOUSE BAR & GRILL,65,Italian,96,13,77,54,35,59
CLUB HUSH,32,American,6,19,76,86,41,39
CLUB INTERNATIONAL,93,Spanish,92,63,54,2,51,65
CLUB LUZERENE,81,Italian,48,35,50,75,41,54
CLUB MATE,27,Thai,65,38,37,69,50,45
CLUB MIAMI,59,Chinese,13,21,44,17,70,36
CLUB MITCHELL,38,Korean,45,94,24,91,20,51
CLUB OKAPI,75,Indian,89,64,49,19,37,60
CLUB ONE,98,Korean,14,51,12,44,11,40
CLUB PHOENIX,50,Chinese,89,54,74,96,42,67
CLUB PUSSYCAT,32,Indian,97,97,77,70,56,73
CLUB RIO & TOUCH OF CLASS,61,Indian,55,32,66,32,20,48
CLUBHOUSE BAR,80,Indian,55,53,63,94,14,61
CLUBHOUSE BAR & GRILL,20,Spanish,17,91,56,85,70,52
COACH HOUSE INN,78,Italian,70,24,61,57,53,57
COCKY LOU'S,52,Mexican,15,21,24,54,32,31
COCO MOKA CAF,43,Italian,89,64,43,18,48,54
COCONUT CAF,22,Spanish,18,65,12,72,62,36
COFFEE LAND,36,Italian,36,50,17,17,19,31
COLD STONE CREAMERY #1479,85,Mexican,12,25,38,62,22,40
COLD STONE CREAMERY# 102,55,American,82,15,71,62,9,51
COLLINS CORNER,72,Italian,13,32,62,0,68,42
COLONIAL INN,53,Thai,19,27,67,76,45,45
COMMON GROUND,55,Spanish,10,13,10,50,29,25
COOKIE'S  CITY  LINE  DINER,24,American,61,99,47,68,13,54
COOPER'S LIQUOR (568-570),94,Spanish,36,23,92,34,53,57
COPRA,22,American,41,46,95,27,79,51
CORKS,78,Indian,23,83,86,11,77,62
CORKY'S GRILL,37,Japanese,64,99,54,21,79,60
CORRADO'S CAF,73,Japanese,95,64,36,96,49,68
"COSI, INC. # 157",70,Chinese,57,67,22,54,0,48
COSMOPOLITAN BAR & GRILL,24,Indian,27,61,58,82,35,45
COSMOS RESTAURANT-CARRYOUT (5427-29),29,Thai,71,88,70,8,18,54
COTTON CLUB,75,Korean,66,97,51,29,17,62
courthouse east caf‚',20,American,17,28,29,95,48,33
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,68,American,61,53,89,98,11,65
crazy johns,64,Indian,77,27,28,91,57,54
CRAZY LIL'S,49,Italian,63,14,72,70,40,50
CREATIVE ALLIANCE,88,Korean,72,30,50,31,9,52
CREPE DU JOUR,29,French,49,57,25,31,41,39
CROSSROADS SPORTS PUB & GRILL,28,Mexican,28,81,85,35,61,54
CURB SHOPPE,41,Indian,16,77,95,50,36,54
CURLEY ST.  CAF,48,Indian,99,91,90,76,60,79
CURTIS BAY ATHLETIC CLUB,40,Japanese,95,60,89,59,32,65
D J'S GASLIGHT,83,Chinese,42,54,12,98,45,52
DAILY  GRIND  COFFEE  HOUSE,78,Chinese,13,84,65,41,74,59
DAILY GRIND,47,Italian,37,32,90,8,26,44
dalesio's of little italy llc,90,French,66,53,40,61,42,60
DANCING PIGS,28,Korean,55,46,47,49,59,46
DANNY'S LOUNGE,44,Italian,99,96,22,79,12,61
DARBY'S,80,French,89,18,66,56,6,56
DARKER THAN BLUE,37,Chinese,93,10,78,91,1,52
DASH SEAFOOD & CHICKEN,90,American,43,63,92,61,66,70
DAVEY JONES LOCKER,53,Mexican,77,65,50,27,26,54
DAVID & DAD'S LLC,71,Italian,44,86,37,96,62,63
DAVID'S RESTAURANT & DELI,95,French,40,43,46,62,13,52
DAYS INNS MANAGEMENT CO,31,Korean,31,91,95,5,25,52
DEAD END SALOON,26,American,45,90,95,10,80,60
DEAD FREDDIES,26,Thai,39,97,40,56,63,52
DECADES SPORTS BAR,97,Korean,32,15,87,20,29,51
DECKERS BAR & GRILLE,72,Thai,80,81,91,24,42,71
DEEP SIDE RESTAURANT & CAF,99,Japanese,24,46,69,15,16,50
DEGO DAME'S,81,Chinese,26,36,91,19,3,48
DELLA ROSE'S 2 CANTON CROSSING,59,Chinese,89,54,54,44,54,61
DESERT CAFE'(1605-07),50,Thai,31,71,97,93,8,59
DESERT INN,99,American,37,25,42,32,55,49
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),49,Thai,93,60,18,35,35,51
DIANNE'S RESTAURANT LOUNGE,34,Indian,40,78,94,18,6,51
DILONE GROCERY & RESTAURANT,69,Spanish,54,55,79,87,25,62
"DIMIS CAF AND GRILL, INC.",57,French,67,50,90,8,80,61
DIMITRI'S TAVERN,48,Spanish,82,18,63,1,39,46
DING HOW RESTAURANT,20,American,53,73,19,21,59,41
DIONYSUS RESTAURANT & LOUNGE,34,Indian,80,68,79,92,53,66
DIZZY  IZZY,73,Japanese,19,69,34,67,15,47
DOMINICANO INTERNACIONAL,42,Thai,66,78,77,69,2,59
DOMINO SUGAR CAFATERIA OPERATION # 65227,23,Italian,18,33,71,12,43,34
DONNA'S,26,Chinese,41,28,100,65,26,48
"DONNA'S CHARLES VILLAGE, LLC",76,Mexican,8,22,85,10,44,43
DONNA'S CROSS KEYS,39,Spanish,73,65,40,47,30,51
DONRITZ BAR & GRILL,44,Italian,39,53,13,29,49,37
DOUGHERTY'S,58,Mexican,84,14,91,58,41,59
DOWN THE HATCH,85,American,58,68,47,82,65,66
DOWNTOWN SPORTS EXCHANGE,83,Thai,97,49,16,63,23,57
"DREAM TAVERN, CARRIBEAN  U.S.A.",73,Korean,31,94,87,58,36,66
DREAMS INN,75,Japanese,93,87,32,1,52,62
DRIFTERS RAW BAR & GRILL,27,American,49,90,60,10,53,51
DUCK'S BLACK SATIN LOUNGE,91,Japanese,55,83,50,91,74,72
DUCKY PLEASURE CLUB,79,American,13,25,49,76,11,41
DUCLAW BREWING COMPANY,48,Thai,52,12,74,25,7,40
DUDA'S TAVERN,33,Japanese,63,62,52,72,73,56
DUKEM ETHIOPIAN RESTAURANT,60,Thai,19,25,67,63,36,44
DUNKIN DONUTS,47,American,46,45,31,31,5,37
Dunkin Donuts,77,Italian,17,41,73,19,10,44
DUNKIN DONUTS & BASKIN ROBBINS,48,French,82,29,11,52,71,46
DUNKIN DONUTS/BASKIN ROBBINS,55,Chinese,1,85,13,84,56,44
DUTCH POT CAF,22,Thai,63,74,36,67,24,48
DYNASTY,42,French,35,18,29,96,35,37
E C CAF & CATERING,35,Chinese,12,81,27,45,46,40
EAGLE NEST,41,French,48,13,24,68,61,38
EAST BALTIMORE ENTERPRISE,74,Japanese,56,73,85,65,44,68
EASTERN HOUSE RESTAURANT,29,French,63,69,46,8,16,43
EASTSIDE  SPORTS  SOCIAL  CLUB,51,French,28,78,85,5,76,56
EAT MUST BE FIRST,63,Chinese,82,30,42,72,27,53
ECLECTIC CAF,21,Indian,19,32,20,9,28,22
edelweiss bakery & caf‚',27,Indian,63,98,45,76,71,61
EDENS LOUNGE,53,Mexican,11,52,70,6,3,38
"EDGAR'S INC.--BALTIMORE, MD",44,French,98,65,26,6,49,52
EDIE'S DELI & GRILL,96,Chinese,78,48,99,72,56,77
EDISON   LOUNGE,38,Indian,14,16,28,34,0,22
EDO SUSHI,27,Japanese,15,93,66,63,15,48
EICHENKRANZ RESTAURANT,91,Spanish,90,26,80,27,75,67
EL OSASIS RESTAURANT & DISCOTEC,99,Korean,17,46,90,57,30,59
EL RANCHO BLANCO,56,Korean,39,19,23,43,75,39
EL RANCHO GRANDE,44,Italian,61,11,67,50,53,46
"EL RECODO, INC.",95,French,65,51,99,26,0,64
EL RINCONCITO PERUANO,59,Korean,40,54,75,45,70,57
EL TORITO MEXICAN RESTAURANT,54,Mexican,91,85,12,53,38,57
EL TROPICAL RESTAURANT (3736-38),24,Indian,33,48,20,55,13,31
ELDORADO INC.,56,Spanish,92,11,60,100,2,54
ELKS I.B.P.O.E.OF W.,22,Chinese,48,61,33,72,62,46
ELLIOT'S POUR HOUSE,79,Indian,68,11,60,87,65,58
EL-MOLINO,96,Spanish,85,26,73,64,7,63
ELVIS RESTAURANT,97,Chinese,28,49,39,50,69,54
ENRICO'S SPORTS CAFE,70,Indian,61,81,78,53,59,69
ESPN  ZONE,36,Thai,36,44,50,3,21,35
europe restaurant & catering,76,French,60,33,92,86,79,68
EVERYDAY'S LLC,38,Mexican,92,59,43,94,50,60
EXCLUSIVE,44,Indian,93,74,25,25,34,53
family diner,54,American,50,51,89,16,60,56
FAMOUS RESTAURANT,49,American,20,36,42,16,37,34
FANTASIES,38,American,29,32,98,63,56,51
FANTASY CAF,75,French,23,67,34,33,37,46
FEDERAL HILL LOUNGE,80,Japanese,0,10,29,24,39,30
FELL'S POINT CARRYOUT,60,American,62,98,47,65,13,61
FIELDER'S TAVERN,39,Thai,56,40,98,84,7,55
FIELDS OLD TRAIL,91,French,100,90,91,93,76,91
FIELDS RIB HOUSE,79,Chinese,71,18,41,68,35,52
FILLIN' STATION,31,Japanese,64,73,91,66,18,60
FIRESIDE NORTH LIQUORS,92,Mexican,70,75,79,8,60,70
FISHERMANS WHARF INNER HARBOR,35,American,69,42,87,22,57,54
FIVE GUYS @ BREWERS HILL,74,Korean,7,43,91,30,21,48
FIVE GUYS FAMOUS BURGERS & FRIES,26,American,28,28,23,33,65,30
FIVE POINT TAVERN,27,Spanish,4,54,96,74,53,48
FIVE SEASONS,80,Italian,21,41,97,69,1,54
FLAMERS BURGER & CHICKEN,57,American,54,58,42,34,10,46
FLAMINGO  LOUNGE,77,Thai,5,90,40,95,59,57
Fleming's Prime Steakhouse and Wine Bar,89,American,36,68,15,4,77,49
FLETCHERS,43,Spanish,44,77,48,34,17,47
FLIP'S AT CLIPPER MILL,60,Indian,39,70,80,67,26,59
FOGO DE CHAO,31,Japanese,16,56,46,39,11,34
FOODTOPIA,23,Japanese,1,92,49,47,52,42
FORT CHARLES PUB,34,French,91,80,15,29,28,49
FOUL BALL BAR,100,Korean,87,48,10,57,47,59
FOUR G'S LIQUOR & LOUNGE,37,Mexican,54,97,18,92,68,57
FOXY LADY,35,Chinese,36,67,10,25,10,33
FRANKLINTOWN INN,60,Spanish,31,10,71,35,19,39
FRANK'S PIZZA,21,Italian,59,93,68,29,21,53
